"lat","lon","total","origen"
-87.8893383,14.9817467,35,"Unnamed Road, Santa Cruz de Yojoa, Honduras"
-87.881977,15.2007942,23,"Unnamed Road, Santa Rita, Honduras"
-87.85252,14.2503368,1,"V-493, San Pedro de Tutule, Honduras"
-87.85252,15.7803344,2,"CA-13, Baracoa, Honduras"
-87.8402405,14.5963866,59,"21 de Agosto, Siguatepeque, Honduras"
-87.8353278,14.1136911,2,"Unnamed Road, Honduras"
-87.829945,14.594583,2,"Boulevard Morazan, Siguatepeque, Honduras"
-87.8058402,15.3843415,210,"Unnamed Road, El Progreso, Honduras"
-87.7840192,15.4035159,1,"7 Calle Norte, El Progreso, Honduras"
-87.7769482,13.9108545,1,"V-585, Honduras"
-87.7689535,14.785129,5,"V-300, Meámbar, Honduras"
-87.7504989,13.6131409,9,"Carr CN-112, Goascorán, Honduras"
-87.7452537,15.0291321,5,"Represa El Cajon, Honduras"
-87.725881,14.5792913,22,"V-222, El Rosario, Honduras"
-87.7246498,13.513177,6,"Unnamed Road, Alianza, Honduras"
-87.7135671,13.7401075,13,"Ruta Mirador, Aramecina, Honduras"
-87.7098723,14.382721,4,"N-68, Ajuterique, Honduras"
-87.7061771,14.3666928,1,"N-68, Lejamaní, Honduras"
-87.7037135,13.8877209,4,"V-580, San Antonio del Nte., Honduras"
-87.7024817,15.307236,31,"Unnamed Road, El Negrito, Honduras"
-87.6913936,13.8267669,6,"N-112, Caridad, Honduras"
-87.6730335,14.3207384,1,"CA-7, La Paz, Honduras"
-87.6729074,14.3271237,12,"CA-7, La Paz, Honduras"
-87.672186,14.322615,7,"CA-7, La Paz, Honduras"
-87.6716747,14.715672,7,"V-326, Honduras"
-87.6667436,13.9511364,3,"N-112, Honduras"
-87.663045,15.5995781,1,"Unnamed Road, Mezapa, Honduras"
-87.6618121,13.8525582,5,"N-112, Honduras"
-87.6556468,13.622392,22,"Unnamed Road, Langue, Honduras"
-87.6519473,13.2916538,8,"V-255, Amapala, Honduras"
-87.6494808,14.7649998,1,"V-327, Ojo de Agua, Honduras"
-87.6482474,14.4490149,107,"Unnamed Road, Comayagua, Honduras"
-87.6396133,14.24398,1,"V-273, San Sebastián, Honduras"
-87.6223402,14.1944332,3,"Unnamed Road, Lamaní, Honduras"
-87.6137011,14.3265395,1,"Unnamed Road, Villa de San Antonio, Honduras"
-87.6075294,14.6276215,9,"N-57, San Jerónimo, Honduras"
-87.606295,14.7601863,20,"N-57, La Libertad, Honduras"
-87.603826,15.3179065,51,"Callejon, Morazán, Honduras"
-87.5853043,14.3248008,1,"CA-5, Desvio hacia Villa de San Antonio, Honduras"
-87.583038,14.89511,12,"V-337, Honduras"
-87.5791287,13.5782936,2,"V-365, Honduras"
-87.5383492,13.8513554,5,"Unnamed Road, Honduras"
-87.5334038,13.6602604,13,"V-366, San Francisco de Coray, Honduras"
-87.485158,13.5369065,53,"Calle Principal, Nacaome, Honduras"
-87.4696839,13.7963601,1,"Unnamed Road, Alubarén, Honduras"
-87.4678266,14.0666041,2,"Unnamed Road, Lepaterique, Honduras"
-87.4659693,13.8267271,3,"V-752, Reitoca, Honduras"
-87.4653502,15.7732601,107,"Unnamed Road, Tela, Honduras"
-87.4554432,13.4326204,29,"Unnamed Road, San Lorenzo, Honduras"
-87.4281878,13.1698712,1,"N-52, Santa Cruz, Honduras"
-87.42447,13.6967656,3,"V-562, San José, Honduras"
-87.4071159,14.7478487,4,"N-128, San Luis, Honduras"
-87.3996765,14.514787,16,"Unnamed Road, Vallecillo, Honduras"
-87.393692,14.93699,20,"Carr asia lalaguna de quezalapa, Quezalapa 95580, Honduras"
-87.374489,14.74042,23,"N-128, Honduras"
-87.3637025,13.5963571,10,"CA-5, Pespire, Honduras"
-87.3475672,14.4967487,1,"Unnamed Road, Trinidad de Quebrada, Honduras"
-87.3388767,14.7980871,7,"V-374, Minas de Oro, Honduras"
-87.3121742,13.7585143,3,"Calle a La Venta del Sur, La Venta, Honduras"
-87.3090683,15.6336377,11,"CA-13, Arizona, Honduras"
-87.3003706,13.2910707,29,"Unnamed Road, Marcovia, Honduras"
-87.2991279,14.5995208,2,"Unnamed Road, El Guantillo, Honduras"
-87.296158,13.63851,1,"V-573, Honduras"
-87.2941569,13.9371571,1,"V-731, Ojojona, Honduras"
-87.2829703,14.8397144,3,"V-384, San José del Potrero, Honduras"
-87.2767544,15.0687081,13,"N-43, Yorito, Honduras"
-87.2730244,13.9296778,1,"N-56, Santa Ana, Honduras"
-87.2692942,15.7445157,17,"Unnamed Road, Esparta, Honduras"
-87.26432,14.913868,19,"N-43, Sulaco, Honduras"
-87.2593454,13.8093174,7,"CA-5, Sabana Grande, Honduras"
-87.2089349,14.0836317,1,"Calle Golan, Tegucigalpa, Honduras"
-87.2014344,14.1056584,35,"Av Cristóbal Colón, Tegucigalpa, Honduras"
-87.2002311,13.2921574,1,"17ª Avenida, Choluteca, Honduras"
-87.1974725,14.1037024,1,"Av República de Chile, Tegucigalpa, Honduras"
-87.1965253,14.0012328,4,"CA-5, Honduras"
-87.192136,14.0722751,232,"Blvrd Sta Cristina, Tegucigalpa, Honduras"
-87.1846624,14.7554618,30,"N-43, Yorito, Honduras"
-87.1840941,14.0964671,1,"Av República Dominicana, Tegucigalpa, Honduras"
-87.1746957,15.1112711,1,"V-570, Ayapa, Honduras"
-87.1711922,14.8921247,31,"N-43, Yorito, Honduras"
-87.16535,13.7583256,1,"N-89, Nueva Armenia, Honduras"
-87.1622344,13.3198572,98,"Anillo Periferico, Choluteca, Honduras"
-87.1472765,13.2101374,18,"V-382, San Jerónimo, Honduras"
-87.1422895,15.2949679,1,"Unnamed Road, Honduras"
-87.1422895,15.6696283,4,"Unnamed Road, Honduras"
-87.1273253,15.1369653,55,"ave. 25 de Julio, Yoro, Honduras"
-87.1210889,14.7036955,1,"V-902, El Pedernal, Honduras"
-87.1185941,14.5988296,78,"Unnamed Road, Cedros, Honduras"
